Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0004389	21	0	10	16	18	11
FBGN0038877	2632	2720	3306	2522	2412	3053
FBGN0039356	142	123	108	75	106	106
FBGN0037455	25	0	2	24	12	4
FBGN0039264	11	0	22	29	12	23
FBGN0287211	7	0	0	7	3	4
FBGN0037994	6	3	20	26	12	30
FBGN0004885	30370	33595	32042	26014	27432	30758
FBGN0038136	16	58	64	15	28	8
FBGN0051390	1159	1087	1196	1264	1423	1208
FBGN0038948	4657	4227	4113	2647	3082	3625
FBGN0038601	5226	4628	4422	3391	4363	4091
FBGN0264836	7	0	4	9	0	2
FBGN0000277	7	0	5	6	0	2
FBGN0038751	3	4	12	15	14	16
FBGN0266172	0	0	0	0	0	0
FBGN0264326	6304	6777	7379	6868	7325	7939
FBGN0051088	0	0	0	5	3	0
FBGN0039188	1987	2163	2178	2003	2513	1815
FBGN0266448	22	35	13	46	25	29
FBGN0025456	246	514	1589	435	540	383
FBGN0040602	0	16	0	4	0	17
FBGN0037386	12	9	47	17	76	11
FBGN0051156	1780	1738	2201	1296	1446	1748
FBGN0037265	739	744	729	395	272	342
FBGN0004197	31392	35306	31777	28911	31202	32494
FBGN0085305	183	101	197	173	156	97
FBGN0037857	7	2	6	29	13	15
FBGN0044810	4	0	24	27	1	5
FBGN0037955	2450	1778	1817	1973	2514	2200
FBGN0037270	15084	16372	14803	13613	14353	17329
FBGN0264899	0	6	4	14	12	0
FBGN0039139	2922	2781	2248	2712	3070	3318
FBGN0041229	23	17	29	28	35	15
FBGN0039286	164	112	106	106	41	113
FBGN0037251	653	711	637	564	454	438
FBGN0051050	7	3	3	0	8	4
FBGN0037719	2185	2365	2204	1620	2022	2284
FBGN0039093	41	84	62	83	19	49
FBGN0016685	13704	15338	15147	16113	18186	16160
FBGN0038584	1368	1575	1522	1094	1410	1484
FBGN0051337	32	80	50	22	22	9
FBGN0028692	32061	34080	30868	27038	30533	31232
FBGN0037727	32	0	3	13	17	9
FBGN0002734	1239	1336	1358	941	847	1110
FBGN0037563	0	14	4	30	0	20
FBGN0053100	3089	4001	3792	3697	3946	3968
FBGN0038089	15	13	10	0	5	8
FBGN0022800	5173	5596	4761	4947	4884	5538
FBGN0051086	6	20	429	10	5	0
FBGN0042105	8	25	118	23	38	18
FBGN0038575	0	2	1	27	0	3
FBGN0045442	34	6	14	31	9	5
FBGN0051404	172	223	254	116	172	121
FBGN0027657	100	213	247	153	246	208
FBGN0262823	0	0	25	11	3	2
FBGN0039240	5365	5775	4299	3964	4286	4606
FBGN0037792	3540	3442	2923	3057	3164	3616
FBGN0261840	565	985	685	640	622	643
FBGN0039505	929	1190	1198	640	895	735
FBGN0039790	4621	5407	5123	5234	5344	5631
FBGN0010173	11756	11702	12140	11556	13128	13826
FBGN0039527	2999	4647	3077	1246	2058	1226
FBGN0015570	78	189	1917	18	28	25
FBGN0051015	16	99	490	6	7	13
FBGN0037617	1161	1343	1132	1000	935	1112
FBGN0039748	283	301	200	80	104	62
FBGN0028422	59	10	42	47	18	49
FBGN0038731	55	44	55	124	32	114
FBGN0038043	5219	5638	5158	3756	4231	4898
FBGN0004777	8	14	5	40	19	11
FBGN0037293	1834	1483	2059	1672	1891	2044
FBGN0039009	32	38	53	28	37	35
FBGN0039766	359	407	303	323	242	283
FBGN0039283	112	202	132	45	97	130
FBGN0037818	18	19	32	17	4	14
FBGN0037492	552	586	517	327	418	427
FBGN0039668	4267	5790	4342	4398	4480	4656
FBGN0014427	5778	5990	4951	3457	4711	4531
FBGN0261286	6189	6905	6212	6004	7472	6657
FBGN0038282	18	21	46	54	48	18
FBGN0038473	6052	5701	5946	6575	7656	8304
FBGN0039016	9830	9585	10691	8344	8665	8880
