Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0260462	16179	17240	12968	13707	15711	16935
FBGN0001281	38	65	44	44	15	34
FBGN0024912	620	909	604	199	268	207
FBGN0039467	120	95	105	56	77	19
FBGN0259831	16	10	2	18	21	2
FBGN0026250	18676	20171	15836	13070	15128	13476
FBGN0038893	909	1260	926	447	414	507
FBGN0037448	274	287	237	60	74	52
FBGN0262982	15	6	2	8	2	1
FBGN0038436	105	38	83	36	22	16
FBGN0038979	0	14	6	12	4	8
FBGN0025781	3417	3729	2759	3213	3411	3243
FBGN0262010	8	5	8	0	13	9
FBGN0038845	61	70	56	15	32	10
FBGN0004510	2928	3125	2277	2468	2784	2573
FBGN0039581	12640	12700	10513	13013	14440	14965
FBGN0264563	3	3	4	6	2	1
FBGN0266173	0	0	0	0	0	0
FBGN0037720	3414	3358	2892	4024	4516	4769
FBGN0051081	40	8	11	8	19	5
FBGN0262582	56406	51674	41448	72242	74720	75388
FBGN0038114	56	104	52	6	50	42
FBGN0037713	494	492	429	580	749	632
FBGN0039187	5406	5672	3982	5220	5837	5231
FBGN0005671	10539	10956	8393	8362	8101	9682
FBGN0267385	14258	15287	10700	14113	15967	17375
FBGN0039043	1877	2214	1276	2133	2291	2341
FBGN0039215	8629	8026	6599	8698	9062	9792
FBGN0038953	5942	6003	4663	3615	4327	4184
FBGN0039670	50	91	22	21	3	42
FBGN0266579	281	280	167	83	99	63
FBGN0024555	23154	21005	17950	21571	23816	24901
FBGN0038611	72	9	54	105	25	36
FBGN0037814	3238	3401	2765	2954	3019	3304
FBGN0037900	805	677	661	568	582	619
FBGN0038643	27	30	27	1	2	79
FBGN0002441	7930	8119	5944	8429	8886	9274
FBGN0038053	1494	1803	1605	1272	1539	1442
FBGN0023212	3112	3831	2874	2879	3152	2916
FBGN0261838	425	394	319	376	313	343
FBGN0038820	17	12	29	40	16	16
FBGN0019828	28	21	48	7	14	34
FBGN0039336	663	1062	861	700	728	700
FBGN0063649	131	120	111	84	51	91
